peak.id	CRX_Corbo	N50	HDmono	HDdimer	NRL	AP1
peak.1485	2	1	3	1	0	1
peak.1486	3	0	2	0	1	2
peak.1487	3	0	3	0	2	0
peak.1488	2	0	2	0	2	0
peak.1489	1	0	1	0	2	1
peak.149	0	0	0	0	1	2
peak.1490	2	0	2	0	3	1
peak.1491	2	0	2	0	0	1
peak.1492	1	0	2	0	0	1
peak.1493	0	0	0	1	0	1
peak.1494	2	0	1	0	1	0
peak.1495	3	0	1	0	2	1
peak.1496	1	0	1	0	0	1
peak.1497	3	2	2	0	1	2
peak.1498	0	4	1	1	2	0
peak.1499	0	0	1	0	0	1
peak.15	2	0	2	1	1	1
peak.150	2	0	2	1	0	0
peak.1500	2	2	1	0	0	0
peak.1501	1	0	1	0	0	0
peak.1502	1	0	2	0	0	0
peak.1503	1	0	1	0	2	2
peak.1504	2	0	4	0	1	0
peak.1505	0	0	0	2	0	0
peak.1506	1	0	1	0	1	1
peak.1507	3	1	2	0	1	0
peak.1508	2	0	2	0	0	0
peak.1509	2	0	1	0	1	0
peak.151	2	0	2	0	1	1
peak.1510	2	1	2	0	1	0
peak.1511	4	1	3	0	2	1
peak.1512	3	0	3	0	0	2
peak.1513	2	0	2	0	3	2
peak.1514	3	1	4	0	0	0
peak.1515	3	0	1	0	1	1
peak.1516	3	0	3	0	0	0
peak.1517	1	0	1	1	0	0
peak.1518	1	0	1	0	0	1
peak.1519	2	0	2	0	0	2
peak.152	3	0	3	0	1	1
peak.1520	2	0	1	0	0	0
peak.1521	0	0	0	0	0	0
peak.1522	1	0	0	1	0	0
peak.1523	2	0	2	0	0	0
peak.1524	5	1	3	0	2	1
peak.1525	0	1	0	1	0	1
peak.1526	2	0	2	0	0	0
peak.1527	1	0	1	0	0	0
peak.1528	1	0	1	0	0	0
peak.1529	0	0	0	0	0	0
peak.153	3	0	3	0	3	0
peak.1530	0	0	0	0	0	0
peak.1531	2	0	2	0	0	0
peak.1532	1	2	1	0	0	0
peak.1533	2	1	2	0	0	1
peak.1534	1	0	3	0	2	1
peak.1535	1	0	1	0	1	0
peak.1536	2	0	3	0	0	1
peak.1537	1	2	1	0	0	0
peak.1538	2	0	2	0	0	1
peak.1539	2	0	3	0	4	1
peak.154	2	1	3	0	1	1
peak.1540	1	0	1	0	0	0
peak.1541	0	0	0	0	0	1
peak.1542	2	0	1	0	0	0
peak.1543	0	0	0	0	0	0
peak.1544	2	0	1	0	0	0
peak.1545	2	0	2	0	3	1
peak.1546	1	1	0	0	1	1
peak.1547	0	0	0	0	0	0
peak.1548	2	0	1	0	0	1
peak.1549	1	0	1	0	0	0
peak.155	3	0	3	0	1	0
peak.1550	2	3	1	0	1	1
peak.1551	2	0	2	0	1	0
peak.1552	2	2	1	0	0	2
peak.1553	2	1	1	0	0	2
peak.1554	2	1	2	0	0	1
peak.1555	0	2	0	1	0	0
peak.1556	1	0	1	0	1	0
peak.1557	1	0	1	0	2	1
peak.1558	0	2	1	0	3	2
peak.1559	2	0	1	0	1	1
peak.156	2	1	2	0	1	1
peak.1560	0	2	0	0	1	0
peak.1561	2	0	3	0	0	2
peak.1562	2	0	2	0	3	0
peak.1563	0	2	0	0	1	0
peak.1564	1	0	2	0	1	0
peak.1565	2	0	1	1	1	0
peak.1566	1	0	0	0	1	0
peak.1567	2	0	1	0	1	0
peak.1568	2	0	2	0	1	3
peak.1569	1	0	1	2	0	1
peak.157	1	1	1	0	0	0
peak.1570	1	0	1	0	1	0
peak.1571	1	0	1	0	1	0
peak.1572	2	3	1	0	1	1
peak.1573	0	4	0	1	0	1
peak.1574	4	1	3	0	0	1
peak.1575	3	1	2	0	0	2
